,Name,ShortName,TeamName,TeamShortName,SkillName,IS_FP,Value
223,Yudhvir Singh,Yudhvir Singh,Lucknow Super Giants,LSG,BOWLER,0,5
224,Bhagath Varma,Bhagath Varma,Chennai Super Kings,CSK,BOWLER,0,5
225,Nehal Wadhera,Nehal Wadhera,Mumbai Indians,MI,BATSMAN,0,5
226,Vaibhav Arora,Vaibhav Arora,Kolkata Knight Riders,KKR,BOWLER,0,5
227,Ripal Patel,Ripal Patel,Delhi Capitals,DC,BATSMAN,0,5
228,Arjun Tendulkar,Arjun Tendulkar,Mumbai Indians,MI,ALL ROUNDER,0,5
229,Shaik Rasheed,Shaik Rasheed,Chennai Super Kings,CSK,BATSMAN,0,5
230,Arshad Khan,Arshad Khan,Mumbai Indians,MI,BOWLER,0,5
231,Anuj Rawat,Anuj Rawat,Royal Challengers Bangalore,RCB,WICKET KEEPER,0,5
232,Raghav Goyal,Raghav Goyal,Mumbai Indians,MI,ALL ROUNDER,0,4.5
233,Ajay Mandal,Ajay Mandal,Chennai Super Kings,CSK,ALL ROUNDER,0,4.5
234,Suyash Sharma,Suyash Sharma,Kolkata Knight Riders,KKR,BOWLER,0,4.5
235,Aman Khan,Aman Khan,Delhi Capitals,DC,BOWLER,0,4.5
236,Avinash Singh,Avinash Singh,Royal Challengers Bangalore,RCB,BOWLER,0,4.5
237,Prashant Solanki,Prashant Solanki,Chennai Super Kings,CSK,BOWLER,0,4.5
